category,technique,provenance,mechanism_primary,mechanism_secondary,goal_affinity,audience
wild,Anti-Solution,signature,inversion,,diagnosis|unstuck,either
wild,Elemental Forces,playful,perspective,analogy,novel|unstuck,either
biomimetic,Nature's Solutions,signature,analogy,,feature|novel,either
biomimetic,Ecosystem Thinking,signature,systems,,strategy|diagnosis,either
biomimetic,Evolutionary Pressure,signature,systems,,feature|novel,either
biomimetic,Predator & Prey,signature,perspective,inversion,strategy|feature,either
biomimetic,Metamorphosis Stages,signature,time-shift,decomposition,novel|strategy,either
biomimetic,Swarm Logic,signature,systems,,feature|strategy,either
quantum,Observer Effect,signature,systems,perspective,strategy|diagnosis,either
quantum,Entanglement Thinking,signature,systems,,diagnosis|strategy,either
quantum,Superposition Collapse,signature,convergence,decomposition,strategy|diagnosis,either
quantum,Relativity Frame Shift,signature,perspective,,strategy|novel,either
quantum,Field Lines,signature,systems,,strategy,either
quantum,Quantum Tunneling,signature,constraint,,unstuck|novel,either
cultural,Indigenous Wisdom,signature,perspective,analogy,personal|strategy|novel,either
cultural,Fusion Cuisine,signature,combination,analogy,novel,either
cultural,Ritual Innovation,signature,analogy,,novel|personal,either
cultural,Mythic Frameworks,signature,analogy,perspective,strategy|personal|novel,either
cultural,Proverb Mining,signature,analogy,,personal|strategy,either
cultural,Ancestor Council,signature,perspective,,personal|strategy,either
cultural,Trickster's Gambit,playful,inversion,provocation,unstuck|strategy,either
absurdist,Villain's Monologue,playful,inversion,perspective,diagnosis|strategy|unstuck,either
absurdist,Explain It to a Golden Retriever,playful,perspective,,unstuck|diagnosis|feature,either
absurdist,Infomercial at 3AM,playful,perspective,,strategy|novel,either
absurdist,Drunk Uncle at Thanksgiving,playful,perspective,,unstuck|diagnosis,either
absurdist,Cursed Genie,playful,inversion,,diagnosis|feature,either
absurdist,Three Rounds of Stupid,playful,provocation,,unstuck|novel,either
constraint,Kill the Crown Jewel,signature,constraint,,feature|strategy|unstuck,either
constraint,1000x Budget,signature,constraint,,novel|strategy,either
constraint,Ship in 60 Minutes,signature,constraint,,feature|planning|unstuck,either
constraint,The $0 Mandate,signature,constraint,,planning|strategy|feature,either
constraint,One Feature Only,signature,constraint,,feature|strategy,either
constraint,Crank the Dial to 11,signature,constraint,,novel|unstuck,either
constraint,Constraint Roulette,signature,constraint,,unstuck|feature,either
speculative_future,Time Horizon Ladder,signature,time-shift,,strategy|planning|novel,either
speculative_future,Post-Scarcity Test,signature,constraint,,novel|strategy,either
speculative_future,Utopia vs Dystopia Split-Screen,signature,perspective,inversion,strategy|diagnosis,either
speculative_future,Sci-Fi Artifact From the Future,signature,time-shift,perspective,novel|feature,either
speculative_future,Emerging Tech Collision,signature,combination,,novel|feature|strategy,either
speculative_future,What-If-The-World-Changed Card Flip,signature,constraint,,novel|unstuck,either
speculative_future,Future Anthropologist Dig,signature,time-shift,perspective,strategy|novel,either
structured,How Might We,classic,questioning,,feature|novel|strategy|diagnosis,either
structured,Job to Be Done,classic,perspective,questioning,feature|strategy|novel,either
structured,Empathy Map,classic,perspective,,feature|personal,either
structured,Backcasting,classic,time-shift,,strategy|planning|novel,either
deep,TRIZ Contradiction,classic,inversion,decomposition,feature|novel|diagnosis,either
deep,Fishbone Diagram,classic,decomposition,systems,diagnosis,either
deep,Build on What Works,classic,perspective,systems,personal|strategy,either
speculative_future,Scenario Cross,classic,constraint,systems,strategy|planning,either
